seconds,lateral_velocity,u,v
100199,0.11535434,0.09350477,-0.06755353
100499,0.15756746,0.13169166,-0.08651481
100799,0.17305158,0.1531238,-0.08062227
101099,0.19315167,0.16716214,-0.09676974
101399,0.21705425,0.19557048,-0.0941527
101699,0.21118768,0.19275141,-0.08629678
101999,0.24952148,0.22957247,-0.097762205
102299,0.2454512,0.22842239,-0.089830436
102599,0.2609063,0.24286185,-0.095342666
102899,0.29349723,0.2771829,-0.09648971
103199,0.25633025,0.24115685,-0.08688259
103499,0.27974024,0.26722717,-0.08272991
103799,0.31867847,0.30598697,-0.08903903
104099,0.32389042,0.3117677,-0.08778322
104399,0.33167142,0.32160792,-0.08108181
104699,0.34309617,0.32993004,-0.09413365
104999,0.3326844,0.32236978,-0.082198694
105299,0.34317005,0.3334116,-0.08125514
105599,0.35343832,0.34368095,-0.082474574
105899,0.35559183,0.34541675,-0.084456064
106199,0.36578694,0.35817426,-0.07423789
106499,0.35603088,0.34656027,-0.08157183
106799,0.36328405,0.3551831,-0.07629065
107099,0.3622827,0.35273612,-0.08261944
107399,0.3518594,0.3433972,-0.07670324
107699,0.33189952,0.3249028,-0.06778979
107999,0.34619352,0.3403396,-0.063394986
108299,0.32576996,0.31784433,-0.07142165
108599,0.35976988,0.35313597,-0.06877034
108899,0.41725478,0.411495,-0.069089934
109199,0.37719333,0.3708376,-0.068951294
109499,0.3516403,0.3448085,-0.068978325
109799,0.33617157,0.33123523,-0.057397984
110099,0.34149435,0.33400315,-0.07113573
110399,0.34112725,0.3345698,-0.06656439
110699,0.3093194,0.3043971,-0.054962657
110999,0.28873953,0.28476146,-0.04776422
111299,0.27758268,0.2746189,-0.040455006
111599,0.32966205,0.32484987,-0.05612133
111899,0.28014633,0.2755664,-0.050449364
112199,0.2910582,0.28821212,-0.040603567
112499,0.32753983,0.32485074,-0.041884955
112799,0.3092707,0.30472472,-0.052831978
113099,0.25840402,0.25545675,-0.038916476
113399,0.25098988,0.24894476,-0.031975593
113699,0.28152117,0.27802417,-0.044235196
113999,0.26798147,0.26647267,-0.028396849
114299,0.21846719,0.2161214,-0.031928916
114599,0.22253615,0.22037992,-0.030903444
114899,0.19630615,0.19505344,-0.022141764
115199,0.15268973,0.15237778,-0.009755313
115499,0.18468304,0.18358722,-0.020088715
115799,0.17694934,0.17614487,-0.016854076
116099,0.16331284,0.16191836,-0.021296216
116399,0.13785172,0.13744831,-0.010538366
116699,0.1517266,0.15139796,-0.009981015
116999,0.11535277,0.115348525,0.0009895909
117299,0.13199274,0.13183986,-0.00635096
117599,0.10051318,0.10021766,0.007701878
117899,0.08483183,0.084111564,0.011030999
118199,0.10115896,0.100283906,0.013276794
118499,0.102473274,0.101990975,0.009930411
118799,0.096099325,0.096092165,-0.0011730184
119099,0.07672635,0.07662858,0.003872178
119399,0.051341385,0.047196377,0.020209884
119699,0.03865971,0.036699653,0.012153537
119999,0.041414693,0.038021207,0.016418414
120299,0.03287631,0.019781087,0.026259476
120599,0.037476335,-0.010239099,0.036050472
120899,0.059726037,-0.03485175,0.048503146
121199,0.07787232,-0.05934484,0.05042112
121499,0.084856816,-0.06748886,0.051438626
121799,0.10057242,-0.08392857,0.05541485
122099,0.11951665,-0.09860673,0.06753475
122399,0.1326657,-0.11068822,0.07313212
122699,0.156002,-0.13724494,0.07416501
122999,0.17602548,-0.15703665,0.07952648
123299,0.17911388,-0.1629996,0.07424897
123599,0.2053892,-0.18772565,0.083329484
123899,0.21331157,-0.19682188,0.082237326
124199,0.22576125,-0.20860791,0.0863185
124499,0.24881944,-0.2340629,0.08441374
124799,0.2525427,-0.23629075,0.08913188
125099,0.26418,-0.24907248,0.0880567
125399,0.26281887,-0.25040314,0.079824954
125699,0.29904187,-0.28517708,0.09000031
125999,0.30534932,-0.29213366,0.08886025
126299,0.3237821,-0.3114173,0.08862319
126599,0.32615197,-0.3136769,0.08934154
126899,0.30825102,-0.2996198,0.07243382
127199,0.32046372,-0.31063563,0.07875595
127499,0.35134616,-0.3420399,0.0803295
127799,0.3465356,-0.33769324,0.07778297
128099,0.38051578,-0.36982235,0.08957497
128399,0.3811361,-0.372291,0.08163405
128699,0.3644246,-0.35670093,0.074630596
128999,0.37295195,-0.36561188,0.07362825
129299,0.39285094,-0.3867001,0.06924535
129599,0.39565897,-0.38957,0.069146544
129899,0.39631477,-0.39057693,0.067194134
130199,0.39181253,-0.3858757,0.06794865
130499,0.37581953,-0.3716456,0.05585579
130799,0.37478885,-0.3709919,0.053213563
131099,0.39304066,-0.3901662,0.047447905
131399,0.37167674,-0.36858144,0.047867574
131699,0.38227144,-0.37988394,0.042657368
131999,0.37593994,-0.37410358,0.037112594
132299,0.36064687,-0.3587807,0.036641255
132599,0.3599423,-0.35828376,0.03451371
132899,0.3548549,-0.35413986,0.022516109
133199,0.34742552,-0.34610093,0.030309329
133499,0.34759617,-0.34728804,0.014632451
133799,0.35276473,-0.35212225,0.02128067
134099,0.35676444,-0.35619286,0.020186877
134399,0.32480642,-0.32453063,0.013382125
134699,0.3441762,-0.34396452,0.012068619
134999,0.33711636,-0.33702797,0.0077201054
135299,0.32637835,-0.3262813,0.007958882
135599,0.30834755,-0.30833638,-0.0026289506
135899,0.3080502,-0.30800116,-0.00549632
136199,0.323525,-0.32341674,-0.008369234
136499,0.32932544,-0.3292821,-0.005342825
136799,0.30546093,-0.30502972,-0.016224692
137099,0.30509534,-0.30463034,-0.016838355
137399,0.31179205,-0.31134453,-0.01669895
137699,0.29382393,-0.29314578,-0.019951267
137999,0.30371532,-0.30253723,-0.026724746
138299,0.27392143,-0.27248788,-0.02798739
138599,0.2673678,-0.2660346,-0.02666722
138899,0.27906227,-0.27737615,-0.030630486
139199,0.2632989,-0.26064974,-0.037256207
139499,0.24511167,-0.24253243,-0.03546479
139799,0.23384295,-0.23069167,-0.038260642
140099,0.23622435,-0.23240976,-0.042280648
140399,0.22977744,-0.22562115,-0.04350612
140699,0.2245596,-0.21964015,-0.046746343
140999,0.2065252,-0.19968636,-0.052706845
141299,0.19780459,-0.192732,-0.044508714
141599,0.17820819,-0.17160705,-0.048053946
141899,0.1831464,-0.17478324,-0.05471213
142199,0.17291404,-0.16198467,-0.060499873
142499,0.16538942,-0.15520303,-0.057146117
142799,0.15251979,-0.13988765,-0.0607761
143099,0.13983774,-0.12778427,-0.056795895
143399,0.12511516,-0.11194733,-0.055871293
143699,0.11830773,-0.1007528,-0.06201285
143999,0.12453432,-0.10090277,-0.072989225
144299,0.10445954,-0.07957181,-0.067676604
144599,0.08851679,-0.055633493,-0.068848655
144899,0.08412961,-0.048382647,-0.068825215
145199,0.08239385,-0.034909017,-0.07463315
145499,0.08202512,-0.02243882,-0.078896254
145799,0.069911115,-0.006355965,-0.06962159
146099,0.067333885,0.011140126,-0.066405945
146399,0.07210975,0.01854336,-0.06968472
146699,0.08986775,0.041450113,-0.0797377
146999,0.09715824,0.057384815,-0.07840093
147299,0.09929059,0.0672653,-0.073034234
147599,0.115998134,0.085872725,-0.077983595
147899,0.12813966,0.10232395,-0.07713352
148199,0.13597842,0.1097419,-0.08029226
148499,0.1475295,0.12304938,-0.08138674
148799,0.16639286,0.14699604,-0.07796631
149099,0.18267761,0.16442977,-0.07958615
149399,0.19813552,0.18294549,-0.076083064
149699,0.19858189,0.18788242,-0.06430364
149999,0.2057894,0.19771217,-0.057089202
150299,0.22119957,0.21058017,-0.06771438
150599,0.2268047,0.2208017,-0.05183616
150899,0.23986349,0.23534499,-0.046338227
151199,0.259581,0.2553321,-0.046774015
151499,0.25814044,0.25409478,-0.045522813
151799,0.2730211,0.26967105,-0.04263848
152099,0.2796337,0.27667505,-0.040569916
152399,0.2862604,0.28280827,-0.0443228
152699,0.29213715,0.28955173,-0.03878028
152999,0.28479832,0.28240103,-0.03687458
153299,0.31207114,0.31081417,-0.027981333
153599,0.30921802,0.3086834,-0.01817518
153899,0.30813035,0.30778927,-0.014494539
154199,0.31183138,0.31175593,-0.0068592634
154499,0.30813292,0.3081152,-0.0033014365
154799,0.34003818,0.33972526,-0.014584935
155099,0.3303001,0.32991543,-0.015936313
155399,0.3553023,0.35493296,-0.016195701
155699,0.3479741,0.34754044,-0.0173669
155999,0.34158206,0.34139857,-0.011195299
156299,0.35127237,0.3511909,-0.007565362
156599,0.35209563,0.35198012,-0.009017918
156899,0.3518786,0.35148016,-0.016741129
157199,0.35113978,0.35096672,-0.011023402
157499,0.3384907,0.33843127,-0.006342738
157799,0.35807657,0.35752672,-0.019835947
158099,0.35834974,0.35799614,-0.01591599
158399,0.3710712,0.37055907,-0.019488668
158699,0.3785562,0.37794787,-0.021452213
158999,0.36697537,0.36625785,-0.022936974
159299,0.36628094,0.36587837,-0.01716815
159599,0.34676382,0.3466677,-0.0081649665
159899,0.3436429,0.3435553,-0.007758639
160199,0.38486576,0.38474566,-0.009613207
160499,0.3478625,0.34723943,-0.02081053
160799,0.35560867,0.35507345,-0.01950257
161099,0.33844408,0.3379025,-0.019139161
161399,0.33465743,0.33362496,-0.026267614
161699,0.32207397,0.32140446,-0.020755947
161999,0.3130322,0.3123763,-0.020253934
162299,0.32485858,0.3245678,-0.013742496
162599,0.30678993,0.30648735,-0.013621927
162899,0.29939193,0.29912078,-0.012738812
163199,0.28343928,0.28312236,-0.013399256
163499,0.2877046,0.28736895,-0.013892927
163799,0.26989922,0.26919335,-0.019507099
164099,0.26430205,0.26396513,-0.01334046
164399,0.25997323,0.25944462,-0.016569745
164699,0.25752723,0.25728577,-0.011149701
164999,0.25271395,0.25250232,-0.0103397
165299,0.24589105,0.24569556,-0.00980297
165599,0.2288081,0.22863616,-0.008868794
165899,0.20948106,0.20913358,-0.012060874
166199,0.21293896,0.21280138,-0.007654108
166499,0.20426413,0.20414817,-0.0068819458
166799,0.19078906,0.19069347,-0.0060387584
167099,0.17656253,0.17652051,-0.0038514663
167399,0.15951207,0.1592522,0.0091017755
167699,0.16109388,0.16109014,0.0010975053
167999,0.14463392,0.14453085,0.005459373
168299,0.1220974,0.12164721,0.010475252
168599,0.10138331,0.10079246,0.010929589
168899,0.08786508,0.086615935,0.0147631895
169199,0.082877845,0.08160245,0.014483674
169499,0.070357986,0.06810901,0.017646767
169799,0.052713733,0.04982561,0.017208906
170099,0.032916762,0.026393225,0.019670052
170399,0.030818637,0.009432793,0.02933958
170699,0.038956914,-0.011752614,0.037141852
170999,0.048869133,-0.028511707,0.039689727
171299,0.067199536,-0.047030766,0.047998793
171599,0.07837779,-0.05980995,0.050654206
171899,0.0867597,-0.06993728,0.051342197
172199,0.09642286,-0.07923434,0.054948043
172499,0.111859046,-0.09648732,0.056591887
172799,0.1270689,-0.11340412,0.05732376
173099,0.1400533,-0.12952057,0.053285573
173399,0.15263277,-0.14314334,0.052978728
173699,0.1683193,-0.15728623,0.05993689
173999,0.18498492,-0.17235819,0.06717201
174299,0.1901365,-0.17881224,0.06463803
174599,0.18641096,-0.1776835,0.05637035
174899,0.22542234,-0.21587184,0.06491979
175199,0.23815301,-0.22999015,0.06181743
175499,0.24885295,-0.24037747,0.06439302
175799,0.25044343,-0.24182433,0.06513754
176099,0.2575547,-0.24922313,0.06497896
176399,0.26254275,-0.25445196,0.06467524
176699,0.2719255,-0.263796,0.06599358
176999,0.27500236,-0.26746488,0.063944
177299,0.27454478,-0.26829073,0.058266032
177599,0.27067986,-0.26533923,0.05350401
177899,0.2735503,-0.26895896,0.04990844
178199,0.2712366,-0.2669553,0.048001666
178499,0.23633741,-0.2332279,0.038211487
178799,0.24565727,-0.24110532,0.047071386
179099,0.27717477,-0.27241918,0.051123805
179399,0.27668875,-0.27257827,0.047515776
179699,0.2725403,-0.26915747,0.042807452
179999,0.26696578,-0.26427314,0.03782108
180299,0.27168435,-0.26913553,0.03712728
180599,0.2656188,-0.2636588,0.032208443
180899,0.26009664,-0.25829935,0.0305238
181199,0.25305837,-0.25171995,0.025992177
181499,0.23815101,-0.2376177,0.015929133
181799,0.18217118,-0.18212312,-0.0041849846
182099,0.23387454,-0.23337789,0.01523376
182399,0.22742778,-0.22738567,0.004377423
182699,0.22260654,-0.22258987,0.002724624
182999,0.21568836,-0.21564801,-0.0041714394
183299,0.20600608,-0.20597649,-0.0034922995
183599,0.19851343,-0.19832699,-0.008601706
183899,0.18580365,-0.1852201,-0.014714266
184199,0.17901713,-0.1780622,-0.018465621
184499,0.1694878,-0.16802502,-0.02221961
184799,0.15944925,-0.1579753,-0.021630185
185099,0.12783027,-0.123601034,-0.032609206
185399,0.14256404,-0.13891023,-0.032069463
185699,0.1310078,-0.12491537,-0.03948666
185999,0.11377372,-0.10648344,-0.040071625
186299,0.0993318,-0.087501794,-0.04701323
186599,0.09100146,-0.075793795,-0.05036434
186899,0.07656368,-0.056410722,-0.05176705
187199,0.06730243,-0.038885992,-0.05493174
187499,0.06242328,-0.021789731,-0.058496784
187799,0.06639123,-0.0036942784,-0.06628837
188099,0.07706078,0.02047274,-0.07429152
188399,0.084487535,0.028657675,-0.07947881
